x	y	theta1	theta2	steps1	steps2	interval
4.299	3.976	138.029	38.863	-1	0	2
4.296	3.965	138.103	38.820	-1	0	2
4.293	3.953	138.179	38.776	-1	1	2
4.290	3.942	138.254	38.734	-1	0	2
4.287	3.931	138.328	38.691	-1	0	2
4.284	3.920	138.404	38.648	-1	0	2
4.281	3.909	138.478	38.605	-1	0	2
4.278	3.897	138.555	38.562	-1	0	2
4.275	3.886	138.629	38.520	-1	0	2
4.272	3.875	138.705	38.477	-1	0	2
4.269	3.864	138.779	38.435	-1	0	2
4.266	3.852	138.856	38.392	-1	0	2
4.263	3.841	138.930	38.350	-1	0	2
4.260	3.830	139.006	38.307	-1	0	2
4.257	3.819	139.080	38.266	-1	0	2
4.254	3.807	139.157	38.223	-1	0	2
4.251	3.796	139.231	38.182	-1	0	2
4.248	3.785	139.308	38.139	-1	0	2
4.245	3.774	139.382	38.098	-1	0	2
4.242	3.762	139.458	38.056	-1	0	2
4.239	3.751	139.532	38.015	-1	0	2
4.236	3.740	139.606	37.974	-1	0	2
4.233	3.729	139.680	37.934	-1	0	2
4.230	3.718	139.757	37.893	-1	0	2
4.227	3.707	139.832	37.854	-1	0	2
4.224	3.695	139.909	37.813	-1	0	2
4.221	3.684	139.983	37.773	-1	0	2
4.218	3.673	140.060	37.733	-1	0	2
4.215	3.662	140.135	37.693	-1	0	2
4.212	3.650	140.212	37.653	-1	0	2
4.209	3.639	140.286	37.614	-1	0	2
4.206	3.628	140.363	37.574	-1	0	2
4.203	3.617	140.437	37.535	-1	0	2
4.200	3.605	140.514	37.495	-1	0	2
4.197	3.594	140.589	37.456	-1	0	2
4.193	3.583	140.663	37.418	-1	0	2
4.190	3.572	140.740	37.378	-1	0	2
4.187	3.561	140.815	37.340	-1	0	2
4.184	3.549	140.892	37.300	-1	0	2
4.181	3.538	140.966	37.262	-1	0	2
4.178	3.527	141.043	37.223	-1	0	2
4.175	3.516	141.117	37.185	-1	0	2
4.172	3.505	141.194	37.146	-1	0	2
4.169	3.494	141.266	37.109	-1	0	2
4.166	3.482	141.344	37.071	-1	0	2
4.163	3.471	141.419	37.034	-1	0	2
4.160	3.460	141.497	36.996	-1	0	2
4.156	3.449	141.572	36.960	-1	0	2
4.153	3.438	141.649	36.922	-1	0	2
4.150	3.427	141.724	36.885	-1	0	2
4.147	3.415	141.802	36.848	-1	0	2
4.144	3.404	141.877	36.812	-1	0	2
4.141	3.393	141.954	36.774	-1	0	2
4.137	3.382	142.030	36.738	-1	0	2
4.134	3.370	142.107	36.701	-1	0	2
4.131	3.359	142.182	36.665	-1	0	2
4.128	3.348	142.260	36.629	-1	0	2
4.125	3.337	142.335	36.593	-1	0	2
4.122	3.326	142.413	36.556	-1	0	2
4.119	3.315	142.488	36.521	-1	0	2
4.115	3.303	142.566	36.484	-1	0	2
4.112	3.292	142.641	36.449	-1	0	2
4.109	3.281	142.719	36.413	-1	0	2
4.106	3.270	142.794	36.378	-1	0	2
4.103	3.259	142.869	36.343	-1	0	2
4.100	3.247	142.947	36.307	-1	0	2
4.097	3.236	143.022	36.273	-1	0	2
4.093	3.225	143.098	36.239	-1	0	2
4.090	3.214	143.174	36.205	-1	0	2
4.087	3.203	143.252	36.170	-1	0	2
4.084	3.192	143.328	36.137	-1	0	2
4.081	3.180	143.406	36.102	-1	0	2
4.077	3.169	143.482	36.069	-1	0	2
4.074	3.158	143.561	36.034	-1	0	2
4.071	3.147	143.636	36.001	-1	0	2
4.068	3.136	143.715	35.967	-1	0	2
4.064	3.125	143.791	35.934	-1	0	2
4.061	3.113	143.869	35.901	-1	0	2
4.058	3.102	143.945	35.868	-1	0	2
4.055	3.091	144.024	35.834	-1	0	2
4.052	3.080	144.100	35.802	-1	0	2
4.048	3.069	144.179	35.768	-1	0	2
4.045	3.058	144.255	35.736	-1	0	2
4.042	3.046	144.333	35.703	-1	0	2
4.039	3.035	144.410	35.671	-1	0	2
4.035	3.024	144.488	35.638	-1	0	2
4.032	3.013	144.562	35.608	-1	0	2
4.029	3.002	144.641	35.576	-1	0	2
4.026	2.991	144.718	35.545	-1	0	2
4.022	2.979	144.797	35.513	-1	0	2
4.019	2.968	144.874	35.482	-1	0	2
4.016	2.957	144.953	35.451	-1	0	2
4.012	2.946	145.030	35.420	-1	0	2
4.009	2.935	145.109	35.389	-1	0	2
4.006	2.924	145.186	35.359	-1	0	2
4.003	2.913	145.262	35.329	-1	0	2
3.999	2.901	145.342	35.298	-1	0	2
3.996	2.891	145.418	35.268	-1	0	2
3.993	2.879	145.498	35.237	-1	0	2
3.989	2.868	145.575	35.208	-1	0	2
3.986	2.857	145.654	35.177	-1	0	2
3.983	2.846	145.731	35.148	-1	0	2
3.980	2.835	145.811	35.117	-1	0	2
3.976	2.824	145.888	35.088	-1	0	2
3.973	2.812	145.967	35.058	-1	0	2
3.970	2.801	146.044	35.029	-1	0	2
3.966	2.790	146.124	34.999	-1	0	2
3.963	2.779	146.201	34.971	-1	0	2
3.960	2.768	146.279	34.942	-1	0	2
3.957	2.757	146.356	34.914	-1	0	2
3.953	2.746	146.436	34.885	-1	0	2
3.950	2.735	146.514	34.857	-1	0	2
3.947	2.723	146.594	34.828	-1	0	2
3.943	2.712	146.671	34.800	-1	0	2
3.940	2.701	146.752	34.772	-1	0	2
3.937	2.690	146.829	34.744	-1	0	2
3.933	2.679	146.909	34.716	-1	0	2
3.930	2.668	146.987	34.688	-1	0	2
3.927	2.656	147.068	34.660	-1	0	2
3.923	2.645	147.145	34.633	-1	0	2
3.920	2.634	147.226	34.605	-1	0	2
3.917	2.623	147.304	34.578	-1	0	2
3.913	2.612	147.384	34.551	-1	0	2
3.910	2.601	147.462	34.524	-1	0	2
3.907	2.590	147.540	34.498	-1	0	2
3.903	2.578	147.621	34.470	-1	0	2
3.900	2.567	147.699	34.444	-1	0	2
3.897	2.556	147.780	34.417	-1	0	2
3.894	2.545	147.858	34.391	-1	0	2
3.890	2.534	147.939	34.364	-1	0	2
3.887	2.523	148.017	34.339	-1	0	2
3.882	2.512	148.104	34.328	-1	0	2
3.875	2.512	148.160	34.395	-1	-1	2
3.871	2.524	148.142	34.492	0	-1	2
3.867	2.534	148.125	34.584	0	-1	2
3.863	2.545	148.106	34.681	0	-1	2
3.859	2.556	148.089	34.770	0	-1	2
3.855	2.567	148.070	34.866	0	-1	2
3.851	2.578	148.051	34.958	0	-1	2
3.847	2.589	148.031	35.053	0	-1	2
3.843	2.599	148.012	35.146	0	-1	2
3.839	2.611	147.992	35.241	0	-1	2
3.835	2.621	147.972	35.333	0	-1	2
3.831	2.633	147.952	35.428	0	-1	2
3.827	2.643	147.933	35.517	0	-1	2
3.823	2.654	147.912	35.611	0	-1	2
3.819	2.665	147.892	35.702	0	-1	2
3.815	2.676	147.871	35.796	0	-1	2
3.811	2.687	147.850	35.887	0	-1	2
3.807	2.698	147.829	35.982	0	-1	2
3.803	2.708	147.808	36.072	0	-1	2
3.799	2.720	147.787	36.167	0	-1	2
3.795	2.730	147.766	36.257	0	-1	2
3.791	2.741	147.744	36.351	0	-1	2
3.787	2.752	147.723	36.442	0	-1	2
3.783	2.763	147.701	36.533	0	-1	2
3.779	2.774	147.679	36.626	0	-1	2
3.775	2.785	147.658	36.717	0	-1	2
3.771	2.796	147.635	36.811	0	-1	2
3.767	2.807	147.614	36.901	0	-1	2
3.763	2.818	147.591	36.995	0	-1	2
3.759	2.828	147.569	37.085	0	-1	2
3.755	2.840	147.546	37.179	0	-1	2
3.751	2.850	147.524	37.269	0	-1	2
3.747	2.861	147.501	37.362	0	-1	2
3.743	2.872	147.478	37.453	0	-1	2
3.739	2.883	147.455	37.546	0	-1	2
3.735	2.894	147.432	37.636	0	-1	2
3.731	2.905	147.408	37.729	0	-1	2
3.727	2.916	147.385	37.819	0	-1	2
3.723	2.927	147.362	37.912	0	-1	2
3.719	2.938	147.338	38.002	0	-1	2
