x	y
5.136	1.028
5.109	1.028
5.082	1.028
5.054	1.028
5.027	1.028
5.000	1.028
4.973	1.028
4.946	1.028
4.918	1.028
4.891	1.028
4.864	1.028
4.837	1.028
4.810	1.028
4.783	1.028
4.755	1.028
4.728	1.028
4.701	1.028
4.674	1.028
4.647	1.028
4.620	1.028
4.592	1.028
4.565	1.028
4.538	1.028
4.511	1.028
4.484	1.028
4.457	1.028
4.429	1.028
4.402	1.028
4.375	1.028
4.348	1.028
4.321	1.028
4.293	1.028
4.266	1.028
4.239	1.028
4.212	1.028
4.185	1.028
4.158	1.028
4.130	1.028
4.103	1.028
4.076	1.028
4.049	1.028
4.022	1.028
3.995	1.028
3.967	1.028
3.940	1.028
3.913	1.028
3.886	1.028
3.859	1.028
3.832	1.028
3.804	1.028
3.777	1.028
3.750	1.028
3.723	1.028
3.696	1.028
3.668	1.028
3.641	1.028
3.614	1.028
3.587	1.028
3.560	1.028
3.533	1.028
3.505	1.028
3.478	1.028
3.451	1.028
3.424	1.028
3.397	1.028
3.370	1.028
3.342	1.028
3.315	1.028
3.288	1.028
3.261	1.028
3.234	1.028
3.207	1.028
3.179	1.028
3.152	1.028
3.125	1.028
3.098	1.028
3.071	1.028
3.043	1.028
3.016	1.028
2.989	1.028
2.962	1.028
2.935	1.028
2.908	1.028
2.880	1.028
2.853	1.028
2.826	1.028
2.799	1.028
2.772	1.028
2.745	1.028
2.717	1.028
2.690	1.028
2.663	1.028
2.636	1.028
2.609	1.028
2.582	1.028
2.554	1.028
2.527	1.028
2.500	1.028
2.473	1.028
2.446	1.028
2.418	1.028
2.391	1.028
2.364	1.028
2.337	1.028
2.310	1.028
2.283	1.028
2.255	1.028
2.228	1.028
2.201	1.028
2.174	1.028
2.147	1.028
2.120	1.028
2.092	1.028
2.065	1.028
2.038	1.028
2.011	1.028
1.984	1.028
1.957	1.028
1.929	1.028
1.902	1.028
1.875	1.028
1.848	1.028
1.821	1.028
1.793	1.028
1.766	1.028
1.739	1.028
1.712	1.028
1.685	1.028
1.658	1.028
1.630	1.028
1.603	1.028
1.576	1.028
1.549	1.028
1.522	1.028
1.495	1.028
1.467	1.028
1.440	1.028
1.413	1.028
1.386	1.028
1.359	1.028
1.332	1.028
1.304	1.028
1.277	1.028
1.250	1.028
1.223	1.028
1.196	1.028
1.168	1.028
1.141	1.028
1.114	1.028
1.087	1.028
1.060	1.028
1.033	1.028
1.005	1.028
0.978	1.028
0.951	1.028
0.924	1.028
0.897	1.028
0.870	1.028
0.842	1.028
0.815	1.028
0.788	1.028
0.761	1.028
0.734	1.028
0.707	1.028
0.679	1.028
0.652	1.028
0.625	1.028
0.598	1.028
0.571	1.028
0.543	1.028
0.516	1.028
0.489	1.028
0.462	1.028
0.435	1.028
0.408	1.028
0.380	1.028
0.353	1.028
0.326	1.028
0.299	1.028
0.272	1.028
0.245	1.028
0.217	1.028
0.190	1.028
0.163	1.028
0.136	1.028
0.109	1.028
0.082	1.028
0.054	1.028
0.027	1.028
0.000	1.028
0.465	1.781
0.426	1.822
0.379	1.854
0.326	1.875
0.326	1.875
0.275	1.921
0.236	1.978
0.236	1.978
0.213	2.038
0.226	2.102
0.226	2.102
0.255	2.152
0.255	2.152
0.185	2.197
0.185	2.197
0.160	2.261
0.168	2.329
