x	y
7.914	7.589
7.936	7.588
7.958	7.587
7.980	7.586
8.002	7.585
8.024	7.584
8.046	7.584
8.068	7.583
8.090	7.582
8.112	7.581
8.135	7.580
8.156	7.579
8.178	7.578
8.200	7.577
8.222	7.576
8.245	7.575
8.267	7.574
8.289	7.573
8.311	7.572
8.333	7.571
8.355	7.570
8.377	7.569
8.399	7.568
8.421	7.567
8.444	7.566
8.466	7.566
8.488	7.565
8.509	7.561
8.531	7.557
8.553	7.553
8.575	7.549
8.596	7.545
8.618	7.541
8.639	7.536
8.661	7.531
8.683	7.526
8.704	7.522
8.726	7.517
8.747	7.512
8.768	7.506
8.790	7.501
8.811	7.495
8.833	7.490
8.854	7.484
8.875	7.479
8.897	7.473
8.918	7.467
8.939	7.461
8.961	7.455
8.982	7.449
9.003	7.443
9.025	7.437
9.045	7.432
9.067	7.426
9.088	7.420
9.110	7.414
9.131	7.408
9.152	7.402
9.174	7.396
9.195	7.391
9.216	7.385
9.238	7.379
9.259	7.373
9.280	7.368
9.301	7.362
9.323	7.357
9.344	7.352
9.366	7.346
9.387	7.341
9.409	7.336
9.430	7.330
9.451	7.325
9.473	7.321
9.495	7.317
9.516	7.312
9.538	7.308
9.560	7.303
9.581	7.299
9.602	7.295
9.624	7.291
9.646	7.288
9.668	7.284
9.690	7.281
9.712	7.277
9.734	7.274
9.756	7.270
9.777	7.268
9.799	7.265
9.821	7.263
9.843	7.260
9.865	7.258
9.887	7.255
9.909	7.253
9.931	7.252
9.953	7.250
9.975	7.249
9.997	7.247
10.019	7.245
10.041	7.244
10.063	7.243
10.085	7.242
10.107	7.241
10.129	7.240
10.151	7.239
10.173	7.238
10.195	7.237
10.217	7.238
10.239	7.238
10.261	7.239
10.283	7.239
10.305	7.240
10.327	7.241
10.349	7.241
10.371	7.240
10.363	7.227
10.341	7.221
10.320	7.216
10.299	7.210
10.278	7.205
10.256	7.199
10.234	7.194
10.213	7.189
10.192	7.184
10.170	7.180
10.148	7.175
10.126	7.171
10.105	7.167
10.083	7.165
10.061	7.163
10.039	7.161
10.017	7.159
9.995	7.157
9.973	7.155
9.951	7.153
9.929	7.153
9.907	7.154
9.885	7.154
9.863	7.154
9.841	7.154
9.818	7.155
9.796	7.155
9.774	7.155
9.752	7.155
9.730	7.156
9.708	7.156
9.686	7.156
9.664	7.157
9.641	7.157
9.620	7.157
9.598	7.158
9.576	7.159
9.553	7.160
9.531	7.161
9.509	7.162
9.487	7.163
9.465	7.164
9.443	7.164
9.421	7.165
9.399	7.166
9.377	7.167
9.355	7.168
9.332	7.169
9.310	7.170
9.288	7.171
9.267	7.173
9.245	7.175
9.223	7.177
9.200	7.179
9.178	7.181
9.156	7.183
9.134	7.185
9.112	7.187
9.090	7.189
9.068	7.191
9.046	7.193
9.024	7.195
9.003	7.198
8.981	7.200
8.965	7.212
8.955	7.232
8.945	7.252
