x	y	theta1	theta2	steps1	steps2	interval
0.158	5.752	148.540	82.156	0	0	0
0.158	5.752	148.542	82.160	0	0	0
0.157	5.752	148.545	82.164	0	0	0
0.157	5.751	148.547	82.168	0	0	0
0.156	5.751	148.550	82.172	0	0	0
0.156	5.751	148.552	82.175	0	0	0
0.155	5.751	148.554	82.179	0	0	0
0.155	5.751	148.557	82.183	0	0	0
0.154	5.751	148.559	82.187	0	0	0
0.154	5.751	148.562	82.191	0	0	0
0.153	5.751	148.564	82.194	0	0	0
0.153	5.751	148.567	82.198	0	0	0
0.152	5.751	148.569	82.202	0	0	0
0.152	5.750	148.572	82.206	0	0	0
0.151	5.750	148.574	82.210	0	0	0
0.151	5.750	148.576	82.214	0	0	0
0.150	5.750	148.579	82.217	0	0	0
0.150	5.750	148.581	82.221	0	0	0
0.149	5.750	148.584	82.225	0	0	0
0.149	5.750	148.586	82.229	0	0	0
0.148	5.750	148.589	82.233	0	0	0
0.148	5.750	148.589	82.233	0	0	0
0.148	5.750	148.591	82.236	0	0	0
0.147	5.749	148.594	82.240	0	0	0
0.147	5.749	148.596	82.243	0	0	0
0.146	5.749	148.599	82.247	0	0	0
0.146	5.749	148.601	82.251	0	0	0
0.145	5.749	148.604	82.254	0	0	0
0.145	5.749	148.606	82.258	0	0	0
0.144	5.749	148.609	82.262	0	0	0
0.144	5.749	148.611	82.265	0	0	0
0.143	5.749	148.614	82.269	0	0	0
0.143	5.748	148.616	82.272	0	0	0
0.142	5.748	148.619	82.276	0	0	0
0.142	5.748	148.622	82.280	0	0	0
0.141	5.748	148.624	82.283	0	0	0
0.141	5.748	148.627	82.287	0	0	0
0.140	5.748	148.629	82.291	0	0	0
0.140	5.748	148.632	82.294	0	0	0
0.139	5.748	148.634	82.298	0	0	0
0.139	5.747	148.637	82.302	0	0	0
0.138	5.747	148.639	82.305	0	0	0
0.138	5.747	148.642	82.309	0	0	0
0.137	5.747	148.644	82.312	0	0	0
0.137	5.747	148.647	82.316	0	0	0
0.136	5.747	148.649	82.320	0	0	0
0.136	5.747	148.652	82.323	0	0	0
0.135	5.747	148.654	82.327	0	0	0
0.135	5.747	148.657	82.331	0	0	0
0.134	5.746	148.659	82.334	0	0	0
0.134	5.746	148.662	82.338	0	0	0
0.133	5.746	148.665	82.341	0	0	0
0.133	5.746	148.667	82.345	0	0	0
0.132	5.746	148.670	82.349	0	0	0
0.132	5.746	148.672	82.352	0	0	0
0.132	5.746	148.675	82.356	0	0	0
0.131	5.746	148.677	82.360	0	0	0
0.131	5.745	148.680	82.363	0	0	0
0.130	5.745	148.682	82.367	0	0	0
0.130	5.745	148.685	82.371	0	0	0
0.129	5.745	148.687	82.374	0	0	0
0.129	5.745	148.690	82.378	0	0	0
0.128	5.745	148.692	82.381	0	0	0
0.128	5.745	148.695	82.385	0	0	0
0.127	5.745	148.697	82.389	0	0	0
0.127	5.745	148.700	82.392	0	0	0
0.126	5.744	148.702	82.396	0	0	0
0.126	5.744	148.705	82.400	0	0	0
0.125	5.744	148.708	82.403	0	0	0
0.125	5.744	148.710	82.407	0	0	0
0.124	5.744	148.713	82.411	0	0	0
0.124	5.744	148.715	82.414	0	0	0
0.123	5.744	148.718	82.418	0	0	0
0.123	5.744	148.720	82.421	0	0	0
0.122	5.743	148.723	82.425	0	0	0
0.122	5.743	148.725	82.429	0	0	0
0.121	5.743	148.728	82.432	0	0	0
0.121	5.743	148.730	82.436	0	0	0
0.120	5.743	148.733	82.440	0	0	0
0.120	5.743	148.735	82.443	0	0	0
0.119	5.743	148.738	82.447	0	0	0
0.119	5.743	148.740	82.451	0	0	0
0.118	5.743	148.743	82.454	0	0	0
0.118	5.742	148.745	82.458	0	0	0
0.117	5.742	148.748	82.461	0	0	0
0.117	5.742	148.750	82.465	0	0	0
0.116	5.742	148.753	82.469	0	0	0
0.116	5.742	148.755	82.472	0	0	0
0.115	5.742	148.758	82.476	0	0	0
0.115	5.742	148.761	82.480	0	0	0
0.114	5.742	148.763	82.483	0	0	0
0.114	5.741	148.766	82.487	0	0	0
0.113	5.741	148.768	82.491	0	0	0
0.113	5.741	148.771	82.494	0	0	0
0.112	5.741	148.773	82.498	0	0	0
0.112	5.741	148.776	82.501	0	0	0
0.111	5.741	148.778	82.505	0	0	0
0.111	5.741	148.781	82.509	0	0	0
0.110	5.741	148.783	82.512	0	0	0
0.110	5.740	148.786	82.516	0	0	0
0.109	5.740	148.788	82.520	0	0	0
0.109	5.740	148.791	82.523	0	0	0
0.108	5.740	148.793	82.527	0	0	0
0.108	5.740	148.796	82.531	0	0	0
0.107	5.740	148.798	82.534	0	0	0
0.107	5.740	148.798	82.534	0	0	0
0.107	5.740	148.801	82.537	0	0	0
0.107	5.740	148.804	82.540	0	0	0
0.106	5.739	148.807	82.543	0	0	0
0.106	5.739	148.810	82.547	0	0	0
0.105	5.739	148.813	82.550	0	0	0
0.105	5.739	148.816	82.553	0	0	0
0.104	5.739	148.819	82.556	0	0	0
0.104	5.738	148.822	82.559	0	0	0
0.103	5.738	148.825	82.562	0	0	0
0.103	5.738	148.828	82.565	0	0	0
0.102	5.738	148.831	82.568	0	0	0
0.102	5.738	148.834	82.571	0	0	0
0.101	5.737	148.837	82.574	0	0	0
0.101	5.737	148.840	82.577	0	0	0
0.100	5.737	148.843	82.580	0	0	0
0.100	5.737	148.846	82.584	0	0	0
0.099	5.737	148.849	82.587	0	0	0
0.099	5.737	148.852	82.590	0	0	0
0.099	5.736	148.855	82.593	0	0	0
0.098	5.736	148.858	82.596	0	0	0
0.098	5.736	148.861	82.599	0	0	0
0.097	5.736	148.864	82.602	0	0	0
0.097	5.736	148.867	82.605	0	0	0
0.096	5.735	148.870	82.608	0	0	0
0.096	5.735	148.873	82.611	0	0	0
0.095	5.735	148.876	82.614	0	0	0
0.095	5.735	148.879	82.617	0	0	0
0.094	5.735	148.882	82.621	0	0	0
0.094	5.734	148.885	82.624	0	0	0
0.093	5.734	148.888	82.627	0	0	0
0.093	5.734	148.891	82.630	0	0	0
0.092	5.734	148.894	82.633	0	0	0
0.092	5.734	148.897	82.636	0	0	0
0.091	5.734	148.900	82.639	0	0	0
0.091	5.733	148.903	82.642	0	0	0
0.090	5.733	148.906	82.645	0	0	0
0.090	5.733	148.909	82.648	0	0	0
0.090	5.733	148.912	82.651	0	0	0
0.089	5.733	148.915	82.654	0	0	0
0.089	5.732	148.918	82.658	0	0	0
0.088	5.732	148.921	82.661	0	0	0
0.088	5.732	148.924	82.664	0	0	0
0.087	5.732	148.927	82.667	0	0	0
0.087	5.732	148.930	82.670	0	0	0
0.086	5.732	148.933	82.673	0	0	0
0.086	5.731	148.936	82.676	0	0	0
0.085	5.731	148.939	82.679	0	0	0
0.085	5.731	148.939	82.679	0	0	0
0.085	5.731	148.942	82.681	0	0	0
0.084	5.731	148.946	82.683	0	0	0
0.084	5.730	148.949	82.685	0	0	0
0.084	5.730	148.953	82.687	0	0	0
0.083	5.730	148.957	82.689	0	0	0
0.083	5.729	148.960	82.690	0	0	0
0.082	5.729	148.964	82.692	0	0	0
0.082	5.729	148.967	82.694	0	0	0
0.082	5.728	148.971	82.696	0	0	0
0.081	5.728	148.975	82.698	0	0	0
0.081	5.728	148.978	82.700	0	0	0
0.080	5.728	148.982	82.702	0	0	0
0.080	5.727	148.985	82.704	0	0	0
0.080	5.727	148.989	82.706	0	0	0
0.079	5.727	148.993	82.707	0	0	0
0.079	5.726	148.996	82.709	0	0	0
0.078	5.726	149.000	82.711	0	0	0
0.078	5.726	149.003	82.713	0	0	0
0.078	5.726	149.007	82.715	0	0	0
0.077	5.725	149.011	82.717	0	0	0
0.077	5.725	149.014	82.719	0	0	0
0.076	5.725	149.018	82.721	0	0	0
0.076	5.724	149.021	82.723	0	0	0
0.075	5.724	149.025	82.724	0	0	0
0.075	5.724	149.029	82.726	0	0	0
0.075	5.723	149.032	82.728	0	0	0
0.074	5.723	149.036	82.730	0	0	0
0.074	5.723	149.039	82.732	0	0	0
0.073	5.723	149.043	82.734	0	0	0
0.073	5.722	149.047	82.736	0	0	0
0.073	5.722	149.050	82.738	0	0	0
0.072	5.722	149.054	82.740	0	0	0
0.072	5.721	149.058	82.742	0	0	0
0.071	5.721	149.061	82.743	0	0	0
0.071	5.721	149.065	82.745	0	0	0
0.071	5.721	149.068	82.747	0	0	0
0.070	5.720	149.072	82.749	0	0	0
0.070	5.720	149.076	82.751	0	0	0
0.069	5.720	149.079	82.753	0	0	0
0.069	5.719	149.083	82.755	0	0	0
0.069	5.719	149.086	82.757	0	0	0
0.068	5.719	149.090	82.759	0	0	0
0.068	5.718	149.094	82.760	0	0	0
0.067	5.718	149.097	82.762	0	0	0
0.067	5.718	149.097	82.762	0	0	0
0.067	5.718	149.101	82.763	0	0	0
0.067	5.717	149.105	82.764	0	0	0
0.066	5.717	149.109	82.765	0	0	0
0.066	5.717	149.113	82.766	0	0	0
0.066	5.716	149.117	82.767	0	0	0
0.065	5.716	149.121	82.768	0	0	0
0.065	5.716	149.125	82.769	0	0	0
0.064	5.715	149.129	82.770	0	0	0
0.064	5.715	149.133	82.771	0	0	0
0.064	5.715	149.137	82.772	0	0	0
0.063	5.714	149.141	82.773	0	0	0
0.063	5.714	149.145	82.774	0	0	0
0.063	5.713	149.148	82.775	0	0	0
0.062	5.713	149.152	82.776	0	0	0
0.062	5.713	149.156	82.777	0	0	0
0.062	5.712	149.160	82.778	0	0	0
0.061	5.712	149.164	82.779	0	0	0
0.061	5.712	149.168	82.780	0	0	0
0.061	5.711	149.172	82.781	0	0	0
0.060	5.711	149.176	82.782	0	0	0
0.060	5.711	149.180	82.783	0	0	0
0.060	5.710	149.184	82.784	0	0	0
0.059	5.710	149.188	82.785	0	0	0
